;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;
#;;;;;;;;;;;;;;Decisions;;;;
return_home_NAN_title;Eternal England;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
return_home_NAN_desc;Expelled from green England by the Norman invaders centuries ago, today we have accomplished our fathers' dreams: England is ours once more! §R\nNote: mutually exclusive with forming the HBE.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
proclaim_britannia_title;Proclaim Beornia the Holy Britannian Empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
proclaim_britannia_desc;Instead of dreaming of reconquering the lands we left centuries ago, we must focus on our new sphere of interest - Ameriga. Let's forge an Empire yet unseen! §R\nNote: mutually exclusive with retaking England. §G\nYou will become elegible to get all year round immigration.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_the_isles_title;Unite the Isles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unite_the_isles_desc;After pushing the Vikings and the Normans out of Britain we must now make amends with our Scottish brothers and finish the job by conquering Ireland, only then Great Britain shall be free from potential invaders.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
become_scandi_dominion_title;Persue closer ties with Scandinavia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
become_scandi_dominion_desc;If we are to retake England giving up on our British ambitions to secure an alliance with the Scandinavians might be on our best interests. §R\nNote: if your take this decision and Scandi accepts you will be forever blocked from forming the UK.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reject_anglois_title;Reject Anglois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reject_anglois_desc;What the hell even is a "Londres"? We must overturn this utter woke non-sense and go back to proper Anglo-Saxon naming conventions such as "Cummings".;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nan_restablish_capital_title;Reestablish the capital;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nan_restablish_capital_desc;London has long been transformed into an Anglois stronghold by the Norman scum which sadly means we need to look for a new capital. London has been historically the capital of England but during the reign of Alfred the Great Winchester acted as one of his two capitals alongside London.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nan_rename_the_falklands_title;The Falklands Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nan_rename_the_falklands_desc;Now that we regained our rightful islands we shall change their name back to their original one.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cusco_capital_title;Move the capital to Cusco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cusco_capital_desc;Finally, we have taken back from the barbarian Westerners our imperial capital of Cusco! Let us establish their once more the capital of the glorious Inca realm.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ameriga_form_title;Form Ameriga;;;;;;;;;;;;x,,,,
ameriga_form_desc;We have control of all of Ameriga, we can form the Federation!;;;;;;;;;;;;x,,,
integrate_afro_amerigans_title;Integrate Afro Amerigans;;;;;;;;;;;;x,,,,
integrate_afro_amerigans_desc;We can now fully guarantee the rights of the Afro Amerigans.;;;;;;;;;;;;x,,,,
conquest_of_jungle_title;Conquest of the Amazon;;;;;;;;;;;;x,,,,
conquest_of_jungle_desc;Now that we are the Federation, our claims extend into the Amazon!;;;;;;;;;;;;x,,,
integrate_beornia_title;Integrate Beornia;;;;;;;;;;;;x,,,,
integrate_beornia_desc;Beornia has been a thorn in our side, but no longer, we can now integrate the nation into our own.;;;;;;;;;;;;x,,
dominate_ameriga_title;Dominate Ameriga;;;;;;;;;;;;x,,,,
dominate_ameriga_desc;It is our destiny to unify all of Ameriga under the Federation, and we have set ourselves up to achieve this dream.;;;;;;;;;;;;x,,,
integrate_granada_title;Integrate Granada;;;;;;;;;;;;x,,,,
integrate_granada_desc;We have freed the Granadans from their oppression, we can now accept them into our Federation.;;;;;;;;;;;;x,,,
integrate_caribbeans_azl_title;Integrate Caribbeans;;;;;;;;;;;;x,,,,
integrate_caribbeans_azl_desc;We have freed the Caribeans from their oppression, we can now accept them into our nation.;;;;;;;;;;;;x,,,
proclaim_empire_clm_title;Crown an Emperor;;;;;;;;;;;;x,,,,
proclaim_empire_clm_desc;Now that we secured our independence it's time to decide how the country should be ran. There are those that defend the idea of a Republic where all citizens are equal with no blood prerogatives, however, there's a growing movement within congress that argues that a Monarchy would help legitimize our state in the minds of European nations.;;;;;;;;;;;;x,,,
proclaim_republic_clm_title;Proclaim the Republic;;;;;;;;;;;;x,,,,
proclaim_republic_clm_desc;Now that we secured our independence it's time to decide how the country should be ran. There are those that defend the idea of a Republic where all citizens are equal with no blood prerogatives, however, there's a growing movement within congress that argues that a Monarchy would help legitimize our state in the minds of European nations.;;;;;;;;;;;;x,,,
destiny_of_the_north_title;Destiny of the North;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
destiny_of_the_north_desc;We should spread our greatness across all of northern Arcadia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
destiny_of_the_east_title;Destiny of the East;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
destiny_of_the_east_desc;We should spread our greatness across all of eastern Arcadia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
destiny_of_the_south_title;Destiny of the South;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
destiny_of_the_south_desc;We should spread our greatness across all of southern Arcadia.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_arcadia_title;Proclaim the Unification of Arcadia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_arcadia_desc;With Arcadia doubtlessly dominated by our country, we can now establish a country with a more fitting name.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_arcadia_vin_title;Proclaim the Unification of Arcadia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
form_arcadia_vin_desc;With Arcadia doubtlessly dominated by our country, we can now establish a country with a more fitting name.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
integrate_afro_arcadians_title;Integrate Afro Arcadians;;;;;;;;;;;;x,,,,
integrate_afro_arcadians_desc;We can now fully guarantee the rights of the Afro Arcadians.;;;;;;;;;;;;x,,,,
integrate_scotland_title;The Conquest of Scotland;;;;;;;;;;;;x,,,,
integrate_scotland_desc;The Conquest of Scotland is recent and we have a hard time proving to the locals that we are their rightful brethren. But with our dominance in Europe and the Anglois dream pushing in the Lowlands and Highlands it might be possible to eventually settle the situation in Scotland.;;;;;;;;;;;;x,,,,
dua_calais_title;Le Pas de Calais;;;;;;;;;;;;x,,,,
